story_name,match_type,imdb_tconst,imdb_titleType,imdb_primaryTitle,imdb_startYear,imdb_endYear,imdb_runtimeMinutes,imdb_genres
Nomadland,exact,tt9770150,movie,Nomadland,2020.0,,107.0,Drama
Before Sunrise,exact,tt1291147,movie,Before Sunrise,1933.0,,46.0,Action
The Curious Case of Benjamin Button,exact,tt0421715,movie,The Curious Case of Benjamin Button,2008.0,,166.0,"Drama,Fantasy,Romance"
Degrassi: The Next Generation,exact,tt0288937,tvSeries,Degrassi: The Next Generation,2001.0,2015.0,30.0,"Drama,Romance"
M*A*S*H,exact,tt0066026,movie,M*A*S*H,1970.0,,116.0,"Comedy,Drama,War"
A Star Is Born,exact,tt0029606,movie,A Star Is Born,1937.0,,111.0,"Drama,Romance"
Psych,exact,tt13196498,short,Psych,2003.0,,2.0,"Animation,Horror,Short"
Coco,exact,tt1169208,short,Coco,1911.0,,,"Comedy,Short"
The Incredibles,exact,tt0317705,movie,The Incredibles,2004.0,,115.0,"Action,Adventure,Animation"
Battlestar Galactica,exact,tt0076984,tvSeries,Battlestar Galactica,1978.0,1979.0,60.0,"Action,Adventure,Drama"
Twelfth Night,exact,tt0125564,short,Twelfth Night,1910.0,,12.0,"Comedy,Drama,Romance"
Fullmetal Alchemist: Brotherhood,exact,tt1355642,tvSeries,Fullmetal Alchemist: Brotherhood,2009.0,2010.0,24.0,"Action,Adventure,Animation"
Baby Driver,exact,tt3890160,movie,Baby Driver,2017.0,,113.0,"Action,Crime,Drama"
Once Upon a Time,exact,tt0200924,short,Once Upon a Time,1910.0,,9.0,"Romance,Short"
Cobra Kai,exact,tt7221388,tvSeries,Cobra Kai,2018.0,2025.0,30.0,"Action,Comedy,Drama"
How To Get Away With Murder,exact,tt3205802,tvSeries,How to Get Away with Murder,2014.0,2020.0,45.0,"Crime,Drama,Mystery"
Bones,exact,tt0086990,movie,Bones,1985.0,,97.0,"Crime,Drama"
Star Trek: Voyager,exact,tt0112178,tvSeries,Star Trek: Voyager,1995.0,2001.0,44.0,"Action,Adventure,Drama"
The Spectacular Now,exact,tt1714206,movie,The Spectacular Now,2013.0,,95.0,"Drama,Romance"
Castle,exact,tt0407372,tvMiniSeries,Castle,2003.0,2003.0,50.0,Documentary
Friends,exact,tt1912397,short,Friends,1910.0,,,"Drama,Short"
Gotham,exact,tt0095246,tvMovie,Gotham,1988.0,,98.0,Thriller
Casablanca,exact,tt0034583,movie,Casablanca,1942.0,,102.0,"Drama,Romance,War"
The Witcher,exact,tt5949186,short,The Witcher,2016.0,,22.0,"Biography,Documentary,Drama"
Gilmore Girls,exact,tt0238784,tvSeries,Gilmore Girls,2000.0,2007.0,45.0,"Comedy,Drama"
The X-Files,exact,tt0106179,tvSeries,The X-Files,1993.0,2018.0,45.0,"Adventure,Crime,Drama"
The Sopranos,exact,tt0141842,tvSeries,The Sopranos,1999.0,2007.0,55.0,"Crime,Drama"
Dune,exact,tt0217408,short,Dune,1973.0,,13.0,Short
X-Men,exact,tt0103584,tvSeries,X-Men,1992.0,1997.0,23.0,"Action,Adventure,Animation"
Normal People,exact,tt0277928,movie,Normal People,2001.0,,91.0,Drama
Die Hard,exact,tt2388685,movie,Die Hard,1971.0,,,
The Room,exact,tt2056755,short,The Room,1959.0,,5.0,Short
Bad Boys,exact,tt0377338,short,Bad Boys,1908.0,,,"Comedy,Short"
Veep,exact,tt1759761,tvSeries,Veep,2012.0,2019.0,30.0,Comedy
Mulholland Drive,exact,tt0166924,movie,Mulholland Drive,2001.0,,147.0,"Drama,Mystery,Thriller"
The Big Bang Theory,exact,tt0898266,tvSeries,The Big Bang Theory,2007.0,2019.0,22.0,"Comedy,Romance"
Eternal Sunshine of the Spotless Mind,exact,tt0338013,movie,Eternal Sunshine of the Spotless Mind,2004.0,,108.0,"Drama,Romance,Sci-Fi"
"Crouching Tiger, Hidden Dragon",exact,tt0190332,movie,"Crouching Tiger, Hidden Dragon",2000.0,,120.0,"Action,Adventure,Drama"
The Little Mermaid,exact,tt0218563,short,The Little Mermaid,1968.0,,29.0,"Animation,Family,Fantasy"
The Marvelous Mrs. Maisel,exact,tt5788792,tvSeries,The Marvelous Mrs. Maisel,2017.0,2023.0,60.0,"Comedy,Drama"
Killing Eve,exact,tt7016936,tvSeries,Killing Eve,2018.0,2022.0,42.0,"Action,Adventure,Drama"
The Lego Movie,exact,tt1490017,movie,The Lego Movie,2014.0,,100.0,"Action,Adventure,Animation"
Superstore,exact,tt0439838,short,Superstore,2004.0,,13.0,"Horror,Short,Thriller"
The Shawshank Redemption,exact,tt0111161,movie,The Shawshank Redemption,1994.0,,142.0,Drama
South Park,exact,tt0121955,tvSeries,South Park,1997.0,,22.0,"Animation,Comedy"
Silicon Valley,exact,tt2892336,movie,Silicon Valley,1999.0,,,
Supernatural,exact,tt0024631,movie,Supernatural,1933.0,,65.0,"Drama,Horror,Mystery"
Avatar: The Last Airbender,exact,tt0417299,tvSeries,Avatar: The Last Airbender,2005.0,2008.0,23.0,"Action,Adventure,Animation"
Shrek,exact,tt0126029,movie,Shrek,2001.0,,90.0,"Adventure,Animation,Comedy"
Portrait of a Lady on Fire,exact,tt8613070,movie,Portrait of a Lady on Fire,2019.0,,122.0,"Drama,Romance"
"The Good, the Bad, and the Ugly",exact,tt38267961,tvSeries,"The Good, the Bad, and the Ugly",2025.0,2026.0,,"Comedy,Drama,Family"
Mamma Mia!,exact,tt0795421,movie,Mamma Mia!,2008.0,,108.0,"Comedy,Musical,Romance"
Space Force,exact,tt1495952,tvMovie,Space Force,1978.0,,25.0,"Comedy,Sci-Fi"
Sailor Moon,exact,tt0103369,tvSeries,Sailor Moon,1992.0,1997.0,30.0,"Action,Adventure,Animation"
Sherlock,exact,tt0337593,tvMovie,Sherlock,2002.0,,100.0,"Action,Adventure,Crime"
Sex and the City,exact,tt0159206,tvSeries,Sex and the City,1998.0,2004.0,30.0,"Comedy,Drama,Romance"
Superbad,exact,tt0829482,movie,Superbad,2007.0,,113.0,Comedy
Sons of Anarchy,exact,tt1124373,tvSeries,Sons of Anarchy,2008.0,2014.0,45.0,"Crime,Drama,Thriller"
Pretty Little Liars,exact,tt1578873,tvSeries,Pretty Little Liars,2010.0,2017.0,44.0,"Drama,Mystery,Romance"
Speed,exact,tt0008614,short,Speed,1917.0,,10.0,"Comedy,Short"
Seinfeld,exact,tt0098904,tvSeries,Seinfeld,1989.0,1998.0,22.0,Comedy
Sex Education,exact,tt1418815,movie,Sex Education,1984.0,,,Comedy
Shaun of the Dead,exact,tt0365748,movie,Shaun of the Dead,2004.0,,99.0,"Comedy,Horror"
Death Note,exact,tt0877057,tvSeries,Death Note,2006.0,2007.0,24.0,"Animation,Crime,Drama"
Yellowjackets,exact,tt11041332,tvSeries,Yellowjackets,2021.0,,60.0,"Drama,Horror,Mystery"
The Dark Knight,exact,tt10976086,short,The Dark Knight,1994.0,,,"Comedy,Short"
